Paragraph,Feedback
This is why I like dogs better than cats. I think dogs are really playful. They can also be strong to pull you or something. They can come in different sizes like a Great Dane or a Wener dog. They can also be in different colors. Some are just muts others are pedigree. Best of all dogs are cute and cuddly. That is why I like dogs a lot better than cats.,Your topic sentence and concluding sentence are clear and go together well
This is why I like dogs better than cats. I think dogs are really playful. They can also be strong to pull you or something. They can come in different sizes like a Great Dane or a Wener dog. They can also be in different colors. Some are just muts others are pedigree. Best of all dogs are cute and cuddly. That is why I like dogs a lot better than cats.,You used a lot of details. I count seven different things you like about dogs.
This is why I like dogs better than cats. I think dogs are really playful. They can also be strong to pull you or something. They can come in different sizes like a Great Dane or a Wener dog. They can also be in different colors. Some are just muts others are pedigree. Best of all dogs are cute and cuddly. That is why I like dogs a lot better than cats.,"Your paragraph makes me wonder if you have a dog that is playful, strong, cute and cuddly. Did you think about your own dog to write your paragraph? When you write about things you know, the writing often sounds real like this."
This is why I like dogs better than cats. I think dogs are really playful. They can also be strong to pull you or something. They can come in different sizes like a Great Dane or a Wener dog. They can also be in different colors. Some are just muts others are pedigree. Best of all dogs are cute and cuddly. That is why I like dogs a lot better than cats.,"Your reasons are all about dogs. Readers would already have to know what cats are like. They wouldn't know from your paragraph whether cats are playful, for instance. When you compare, make sure you think about both of the things you are comparing."
This is why I like dogs better than cats. I think dogs are really playful. They can also be strong to pull you or something. They can come in different sizes like a Great Dane or a Wener dog. They can also be in different colors. Some are just muts others are pedigree. Best of all dogs are cute and cuddly. That is why I like dogs a lot better than cats.,Did you check your spelling? See if you can find two misspelled words.
This is why I like dogs better than cats. I think dogs are really playful. They can also be strong to pull you or something. They can come in different sizes like a Great Dane or a Wener dog. They can also be in different colors. Some are just muts others are pedigree. Best of all dogs are cute and cuddly. That is why I like dogs a lot better than cats.,"Your introductory and concluding paragraphs are nice ""bookends"" that state your theme."
This is why I like dogs better than cats. I think dogs are really playful. They can also be strong to pull you or something. They can come in different sizes like a Great Dane or a Wener dog. They can also be in different colors. Some are just muts others are pedigree. Best of all dogs are cute and cuddly. That is why I like dogs a lot better than cats.,"The paragraphs in the body of your essay are about siblings not getting along, which is great. But there aren't many details, either about Walter and Beneatha or about you and your seven brothers. Let's start with the play: can you think of some specific dialogue that shows Wlater and Beneatha's conflicts? You could look through Act one to find exact references. "
"“Essay”
In the play, A Raisin in the Sun, by Lorraine Hansberry, I can most relate to the conflict between Walter and Beneatha. Walter and Beneatha are brother and sister; they do not get along very well, and both of them are very outspoken people.
Walter has at least one sibling that we know of, and that is Beneatha. I have seven siblings and all of them just happen to be boys. So, even though I cannot relate to having a sister, I can relate to the conflicts that exists between all siblings, regardless of sex.
They do not get along very well because they are brother and sister. If they were neighbors, and they did not get along very well with each other, they at least would not have to make any effort to change that because they would not be living together. However, Walter and Beneatha do live together, and have done so far 20 years. So obviously, since they are forced to live together, some tension does exist. I did not get along well with any of my brothers until they all moved out.
Walter and Beneatha are very outspoken about how they feel about each other. Walter makes it clear that Beneatha’s dream of becoming a doctor is not a realistic dream and that she should become a nurse. Beneatha talks about Walter’s friends. And it just goes back and forth. My brothers and I to this day, still make comments like that to each other.
The conflicts occur between Walter and Beneatha because they are brother and sister. It is a given in life that conflicts will exist between brothers and sisters. In, a Raisin in the Sun, as well as in my life, such conflicts exist.","Your introductory and concluding paragraphs are nice ""bookends"" that state your theme."
"“Essay”
In the play, A Raisin in the Sun, by Lorraine Hansberry, I can most relate to the conflict between Walter and Beneatha. Walter and Beneatha are brother and sister; they do not get along very well, and both of them are very outspoken people.
Walter has at least one sibling that we know of, and that is Beneatha. I have seven siblings and all of them just happen to be boys. So, even though I cannot relate to having a sister, I can relate to the conflicts that exists between all siblings, regardless of sex.
They do not get along very well because they are brother and sister. If they were neighbors, and they did not get along very well with each other, they at least would not have to make any effort to change that because they would not be living together. However, Walter and Beneatha do live together, and have done so far 20 years. So obviously, since they are forced to live together, some tension does exist. I did not get along well with any of my brothers until they all moved out.
Walter and Beneatha are very outspoken about how they feel about each other. Walter makes it clear that Beneatha’s dream of becoming a doctor is not a realistic dream and that she should become a nurse. Beneatha talks about Walter’s friends. And it just goes back and forth. My brothers and I to this day, still make comments like that to each other.
The conflicts occur between Walter and Beneatha because they are brother and sister. It is a given in life that conflicts will exist between brothers and sisters. In, a Raisin in the Sun, as well as in my life, such conflicts exist.","The paragraphs in the body of your essay are about siblings not getting along, which is great. But there aren't many details, either about Walter and Beneatha or about you and your seven brothers. Let's start with the play: can you think of some specific dialogue that shows Wlater and Beneatha's conflicts? You could look through Act one to find exact references. "
"“Essay”
In the play, A Raisin in the Sun, by Lorraine Hansberry, I can most relate to the conflict between Walter and Beneatha. Walter and Beneatha are brother and sister; they do not get along very well, and both of them are very outspoken people.
Walter has at least one sibling that we know of, and that is Beneatha. I have seven siblings and all of them just happen to be boys. So, even though I cannot relate to having a sister, I can relate to the conflicts that exists between all siblings, regardless of sex.
They do not get along very well because they are brother and sister. If they were neighbors, and they did not get along very well with each other, they at least would not have to make any effort to change that because they would not be living together. However, Walter and Beneatha do live together, and have done so far 20 years. So obviously, since they are forced to live together, some tension does exist. I did not get along well with any of my brothers until they all moved out.
Walter and Beneatha are very outspoken about how they feel about each other. Walter makes it clear that Beneatha’s dream of becoming a doctor is not a realistic dream and that she should become a nurse. Beneatha talks about Walter’s friends. And it just goes back and forth. My brothers and I to this day, still make comments like that to each other.
The conflicts occur between Walter and Beneatha because they are brother and sister. It is a given in life that conflicts will exist between brothers and sisters. In, a Raisin in the Sun, as well as in my life, such conflicts exist.",You say your brothers all moved out. Are you the youngest? Were there some times in your life as a younger child that your big brothers did or said things that sounded like Walter or Beneatha?
